Class; Value; Class start; Class end;
1;1;-0.163848266006;-0.158465939718;
2;0;-0.158465939718;-0.153083613431;
3;0;-0.153083613431;-0.147701287144;
4;18;-0.147701287144;-0.142318960856;
5;10;-0.142318960856;-0.136936634569;
6;0;-0.136936634569;-0.131554308282;
7;0;-0.131554308282;-0.126171981995;
8;0;-0.126171981995;-0.120789655707;
9;1;-0.120789655707;-0.115407329420;
10;4;-0.115407329420;-0.110025003133;
11;4;-0.110025003133;-0.104642676845;
12;7;-0.104642676845;-0.099260350558;
13;11;-0.099260350558;-0.093878024271;
14;17;-0.093878024271;-0.088495697984;
15;35;-0.088495697984;-0.083113371696;
16;31;-0.083113371696;-0.077731045409;
17;19;-0.077731045409;-0.072348719122;
18;20;-0.072348719122;-0.066966392834;
19;5;-0.066966392834;-0.061584066547;
20;4;-0.061584066547;-0.056201740260;
21;5;-0.056201740260;-0.050819413973;
22;22;-0.050819413973;-0.045437087685;
23;20;-0.045437087685;-0.040054761398;
24;55;-0.040054761398;-0.034672435111;
25;70;-0.034672435111;-0.029290108823;
26;68;-0.029290108823;-0.023907782536;
27;94;-0.023907782536;-0.018525456249;
28;129;-0.018525456249;-0.013143129962;
29;187;-0.013143129962;-0.007760803674;
30;185;-0.007760803674;-0.002378477387;
31;1199;-0.002378477387;0.003003848900;
32;630;0.003003848900;0.008386175188;
33;352;0.008386175188;0.013768501475;
34;233;0.013768501475;0.019150827762;
35;260;0.019150827762;0.024533154049;
36;170;0.024533154049;0.029915480337;
37;180;0.029915480337;0.035297806624;
38;110;0.035297806624;0.040680132911;
39;97;0.040680132911;0.046062459199;
40;110;0.046062459199;0.051444785486;
41;104;0.051444785486;0.056827111773;
42;47;0.056827111773;0.062209438060;
43;42;0.062209438060;0.067591764348;
44;35;0.067591764348;0.072974090635;
45;21;0.072974090635;0.078356416922;
46;18;0.078356416922;0.083738743210;
47;21;0.083738743210;0.089121069497;
48;27;0.089121069497;0.094503395784;
49;29;0.094503395784;0.099885722071;
50;12;0.099885722071;0.105268048359;
51;16;0.105268048359;0.110650374646;
52;9;0.110650374646;0.116032700933;
53;45;0.116032700933;0.121415027220;
54;47;0.121415027220;0.126797353508;
55;14;0.126797353508;0.132179679795;
56;14;0.132179679795;0.137562006082;
57;14;0.137562006082;0.142944332370;
58;11;0.142944332370;0.148326658657;
59;19;0.148326658657;0.153708984944;
60;21;0.153708984944;0.159091311231;
61;15;0.159091311231;0.164473637519;
62;11;0.164473637519;0.169855963806;
63;5;0.169855963806;0.175238290093;
64;12;0.175238290093;0.180620616381;
65;2;0.180620616381;0.186002942668;
66;1;0.186002942668;0.191385268955;
67;0;0.191385268955;0.196767595242;
68;1;0.196767595242;0.202149921530;
69;0;0.202149921530;0.207532247817;
70;0;0.207532247817;0.212914574104;
71;7;0.212914574104;0.218296900392;
